Episode,Step,Action_Routed,Portfolio_Value,Reward,Epsilon
26,100,BTC: Buy KRAKEN -> Sell COINBASE,308854.39,0.0262,0.9925
26,150,BNB: Buy KRAKEN -> Sell COINBASE,306871.28,-0.6850,0.9925
26,200,ETH: Buy COINBASE -> Sell BINANCE,308269.13,-0.0483,0.9925
27,50,ETH: Buy COINBASE -> Sell BINANCE,307125.55,-0.8016,0.9922
27,100,BNB: Buy KRAKEN -> Sell BINANCE,308988.86,0.3113,0.9922
27,150,BTC: Buy BINANCE -> Sell KRAKEN,307565.45,0.1326,0.9922
27,200,BTC: Buy KRAKEN -> Sell BINANCE,308904.67,-0.8817,0.9922
28,50,ETH: Buy KRAKEN -> Sell COINBASE,307803.92,-0.2367,0.9919
28,100,BTC: Buy KRAKEN -> Sell COINBASE,309425.13,-0.0280,0.9919
28,150,BTC: Buy BINANCE -> Sell KRAKEN,307360.81,-0.3309,0.9919
28,200,BTC: Buy KRAKEN -> Sell BINANCE,308559.92,-2.0000,0.9919
29,50,BNB: Buy COINBASE -> Sell BINANCE,307601.23,-2.0000,0.9916
29,100,BTC: Buy COINBASE -> Sell KRAKEN,309045.24,0.4556,0.9916
29,150,ETH: Buy BINANCE -> Sell COINBASE,307785.72,-0.7236,0.9916
29,200,BNB: Buy KRAKEN -> Sell BINANCE,309535.95,-2.0089,0.9916
30,50,BNB: Buy COINBASE -> Sell KRAKEN,307619.16,-2.0000,0.9913
30,100,ETH: Buy COINBASE -> Sell BINANCE,309580.79,-2.0000,0.9913
30,150,ETH: Buy KRAKEN -> Sell BINANCE,307030.92,0.2028,0.9913
30,200,BNB: Buy KRAKEN -> Sell BINANCE,308710.17,-1.2669,0.9913
31,50,BTC: Buy COINBASE -> Sell BINANCE,306750.45,0.2377,0.9910
31,100,BTC: Buy COINBASE -> Sell BINANCE,308132.80,-0.1339,0.9910
31,150,ETH: Buy KRAKEN -> Sell COINBASE,306718.42,-2.0000,0.9910
31,200,ETH: Buy COINBASE -> Sell BINANCE,308388.68,-2.2716,0.9910
32,50,BNB: Buy BINANCE -> Sell COINBASE,307343.26,-0.1876,0.9907
32,100,BNB: Buy BINANCE -> Sell KRAKEN,309275.85,-2.0000,0.9907
32,150,BTC: Buy COINBASE -> Sell KRAKEN,307180.15,0.0775,0.9907
32,200,BTC: Buy COINBASE -> Sell KRAKEN,308744.41,-2.0000,0.9907
33,50,BNB: Buy BINANCE -> Sell KRAKEN,307952.68,-0.0771,0.9904
33,100,BTC: Buy BINANCE -> Sell KRAKEN,309940.71,-2.0000,0.9904
33,150,ETH: Buy KRAKEN -> Sell COINBASE,307700.51,0.0676,0.9904
33,200,ETH: Buy KRAKEN -> Sell COINBASE,309866.74,-0.6572,0.9904
34,50,ETH: Buy KRAKEN -> Sell BINANCE,307545.11,0.3623,0.9901
34,100,BNB: Buy COINBASE -> Sell KRAKEN,309176.85,0.4929,0.9901
34,150,BNB: Buy BINANCE -> Sell KRAKEN,308412.85,1.4314,0.9901
34,200,ETH: Buy COINBASE -> Sell KRAKEN,309597.57,-0.7798,0.9901
35,50,ETH: Buy BINANCE -> Sell KRAKEN,307614.57,-0.6324,0.9899
35,100,BTC: Buy BINANCE -> Sell COINBASE,308894.27,-2.0000,0.9899
